"","mem_point_","mem_point1","new_transe","new_tran_1","new_tran_2","new_tran_3","new_tran_4","new_tran_5","X","Y","elevation","elev_units","coords.x1","coords.x2","optional"
"1188",11,0.77,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.283561824,44.7466471082,1733.15,"meters",-118.283561823588,44.7466471082438,TRUE
"1189",11,0.78,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.281820698,44.755923941,1740.81,"meters",-118.281820698278,44.7559239409721,TRUE
"1190",11,0.79,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.280078816,44.7652009181,1708.08,"meters",-118.280078816086,44.7652009180532,TRUE
"1191",11,0.8,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.278336176,44.7744780398,1817.56,"meters",-118.278336176243,44.7744780397573,TRUE
"1192",11,0.81,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.276592769,44.7837553055,1824.91,"meters",-118.276592768597,44.7837553054673,TRUE
"1193",11,0.82,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.274848598,44.793032716,1776.01,"meters",-118.27484859828,44.793032716012,TRUE
"1194",11,0.83,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.273103668,44.802310272,1641.88,"meters",-118.273103667948,44.8023102719865,TRUE
"1195",11,0.84,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.271357977,44.8115879737,1746.59,"meters",-118.271357976828,44.8115879736617,TRUE
"1196",11,0.85,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.269611524,44.8208658213,2033.06,"meters",-118.269611524146,44.8208658213083,TRUE
"1197",11,0.86,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.267864309,44.8301438152,2063.94,"meters",-118.267864309128,44.8301438151974,TRUE
"1198",11,0.87,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.266116331,44.8394219556,2002.11,"meters",-118.266116330996,44.8394219556001,TRUE
"1199",11,0.88,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.264367589,44.8487002428,1905.21,"meters",-118.264367588976,44.8487002427875,TRUE
"1200",11,0.89,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.262618082,44.857978677,2115.99,"meters",-118.262618082289,44.857978677031,TRUE
"1201",11,0.9,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.26086781,44.8672572586,2233.9,"meters",-118.260867810158,44.867257258602,TRUE
"1202",11,0.91,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.259116772,44.8765359878,2095.56,"meters",-118.259116771804,44.876535987772,TRUE
"1203",11,0.92,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.257364966,44.8858148648,1859.35,"meters",-118.257364966447,44.8858148648126,TRUE
"1204",11,0.93,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.255612393,44.89509389,1932.69,"meters",-118.255612393308,44.8950938899955,TRUE
"1205",11,0.94,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.253859052,44.9043730636,2073.33,"meters",-118.253859051604,44.9043730635927,TRUE
"1206",11,0.95,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.252104941,44.9136523859,2087.35,"meters",-118.252104940555,44.913652385876,TRUE
"1207",11,0.96,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.250350059,44.9229318571,2277.68,"meters",-118.250350059377,44.9229318571176,TRUE
"1208",11,0.97,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.248594407,44.9322114776,2290.7,"meters",-118.248594407287,44.9322114775895,TRUE
"1209",11,0.98,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.246837984,44.9414912476,2310.7,"meters",-118.246837983502,44.9414912475642,TRUE
"1210",11,0.99,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.245080787,44.9507711673,2390.76,"meters",-118.245080787235,44.9507711673138,TRUE
"1211",11,1,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.243322818,44.9600512371,2365.1,"meters",-118.243322817702,44.9600512371111,TRUE
"1212",11,0,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.41541397,44.032743145,1857.05,"meters",-118.415413969923,44.0327431450138,TRUE
"1213",12,0.01,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.920355965,44.0006824823,1139.82,"meters",-117.920355964616,44.0006824823014,TRUE
"1214",12,0.02,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.918447702,44.0099265015,1211.05,"meters",-117.9184477019,44.0099265015112,TRUE
"1215",12,0.03,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.916538677,44.0191706332,1153.79,"meters",-117.916538676549,44.0191706331656,TRUE
"1216",12,0.04,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.914628888,44.0284148775,1150.13,"meters",-117.914628887819,44.0284148775136,TRUE
"1217",12,0.05,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.912718335,44.0376592348,1177.52,"meters",-117.912718334964,44.037659234804,TRUE
"1218",12,0.06,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.910807017,44.0469037053,1169.53,"meters",-117.91080701724,44.0469037052857,TRUE
"1219",12,0.07,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.908894934,44.0561482892,1095.55,"meters",-117.908894933898,44.0561482892077,TRUE
"1220",12,0.08,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.906982084,44.0653929868,1143.12,"meters",-117.906982084194,44.0653929868192,TRUE
"1221",12,0.09,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.905068467,44.0746377984,1127.88,"meters",-117.905068467378,44.0746377983693,TRUE
"1222",12,0.1,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.903154083,44.0838827241,1131.82,"meters",-117.903154082703,44.0838827241074,TRUE
"1223",12,0.11,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.901238929,44.0931277643,1134.16,"meters",-117.90123892942,44.0931277642827,TRUE
"1224",12,0.12,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.899323007,44.1023729191,1231.27,"meters",-117.899323006778,44.1023729191448,TRUE
"1225",12,0.13,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.897406314,44.1116181889,1254.87,"meters",-117.897406314027,44.1116181889432,TRUE
"1226",12,0.14,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.89548885,44.1208635739,1195.02,"meters",-117.895488850415,44.1208635739276,TRUE
"1227",12,0.15,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.893570615,44.1301090743,1173.09,"meters",-117.893570615191,44.1301090743476,TRUE
"1228",12,0.16,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.891651608,44.1393546905,1175.52,"meters",-117.891651607602,44.1393546904531,TRUE
"1229",12,0.17,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.889731827,44.1486004225,1167.73,"meters",-117.889731826894,44.148600422494,TRUE
"1230",12,0.18,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.887811272,44.1578462707,1182.11,"meters",-117.887811272314,44.1578462707202,TRUE
"1231",12,0.19,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.885889943,44.1670922354,1196.97,"meters",-117.885889943106,44.1670922353819,TRUE
"1232",12,0.2,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.883967839,44.1763383167,1239.92,"meters",-117.883967838514,44.1763383167291,TRUE
"1233",12,0.21,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.882044958,44.185584515,1260.61,"meters",-117.882044957784,44.1855845150121,TRUE
"1234",12,0.22,12,-1746127.36134,932726.86245,-1688664.38606,1019658.17535,14,-117.8801213,44.1948308305,1246.93,"meters",-117.880121300156,44.1948308304812,TRUE
